varietal,description,color,encoded,parsed
Riesling,earthy hovers nettle lemon balm aromatic lemon freshness exquisitely vivid lemon freshness earthier edges adding depth unfurl passes linear incisive precise white,white,14,earthy hovers nettle lemon balm aromatic lemon freshness exquisitely vivid lemon freshness earthier edges adding depth unfurl passes linear incisive precise white
Riesling,waxy accented whiff racy footed shade invigoratingly brisk texture white,white,14,waxy accented whiff racy footed shade invigoratingly brisk texture white
Riesling,steep provided raimund prum offering turned muscular vintages finely focused marrying honey pineapple ending mouthwatering white,white,14,steep provided raimund prum offering turned muscular vintages finely focused marrying honey pineapple ending mouthwatering white
Riesling,closed swirling characteristic apples superripe peaches appear overwhelming honeyed richness pair desserts try veined cheeses white,white,14,closed swirling characteristic apples superripe peaches appear overwhelming honeyed richness pair desserts try veined cheeses white
Riesling,lend stately bursting tangerine quince brisk lingering lemon zest white,white,14,lend stately bursting tangerine quince brisk lingering lemon zest white
Riesling,attractive lemon color pronounced layered honied salad fusel balsamic earthy taut mouthwatering apricot minerality follows white,white,14,attractive lemon color pronounced layered honied salad fusel balsamic earthy taut mouthwatering apricot minerality follows white
Riesling,lavish canteloupe honeysuckle extend forward lipsmacking bracing white,white,14,lavish canteloupe honeysuckle extend forward lipsmacking bracing white
Riesling,wonderfully drinkable makes accomplishmentsometimes balances dried apricot tropical lively white,white,14,wonderfully drinkable makes accomplishmentsometimes balances dried apricot tropical lively white
Riesling,penetrating veins cantaloupe lemon racy taut punctuated lingering honey white,white,14,penetrating veins cantaloupe lemon racy taut punctuated lingering honey white
Riesling,lend grapefruit braced minerality penetrating sensation pith astringency white,white,14,lend grapefruit braced minerality penetrating sensation pith astringency white
Riesling,finished residual sugar fruits honeysuckle concentrated dense bracing tasted opened retained crispness vitality beautifully white,white,14,finished residual sugar fruits honeysuckle concentrated dense bracing tasted opened retained crispness vitality beautifully white
Riesling,veritable lavishly composed flurry attributescherry blossoms peaches plumsall kissed honey shower lemon youthful honeyed tones darken decade white,white,14,veritable lavishly composed flurry attributescherry blossoms peaches plumsall kissed honey shower lemon youthful honeyed tones darken decade white
Riesling,hint petal perfumes grapefruit midpalate softened luscious apricot zesty balances meandering white,white,14,hint petal perfumes grapefruit midpalate softened luscious apricot zesty balances meandering white
Riesling,known example greens lemon zest apples sugar acids lithe finely judged white,white,14,known example greens lemon zest apples sugar acids lithe finely judged white
Riesling,leads sprightly fizz broader earthier suggests remains white,white,14,leads sprightly fizz broader earthier suggests remains white
Riesling,enrobed campfire curiously aromatic minerally melon herbaceous midpalate white,white,14,enrobed campfire curiously aromatic minerally melon herbaceous midpalate white
Riesling,color complex inviting layered earthy minerality vibrant intriguing petrol honey racy taut focused defined viscous texture perfectly balanced crispness minerality lingering white,white,14,color complex inviting layered earthy minerality vibrant intriguing petrol honey racy taut focused defined viscous texture perfectly balanced crispness minerality lingering white
Riesling,possibilities seafood kinds pasta salad maybe pork aperitif mouth fore pith soy underneath white,white,14,possibilities seafood kinds pasta salad maybe pork aperitif mouth fore pith soy underneath white
Riesling,aromatic settling potential concentration look forward fruits tight look forward impressive future white,white,14,aromatic settling potential concentration look forward fruits tight look forward impressive future white
Riesling,nectarine apricot perfumed delicate uncomplicated freshened white,white,14,nectarine apricot perfumed delicate uncomplicated freshened white
Riesling,lemon lanolin mysterious delicate intensely concentrated honeyed oil sheen lengthens white,white,14,lemon lanolin mysterious delicate intensely concentrated honeyed oil sheen lengthens white
Riesling,faint lemon zest harmonious brings tang apples zing lemon peel driven appetizing nicely concentrated lasting white,white,14,faint lemon zest harmonious brings tang apples zing lemon peel driven appetizing nicely concentrated lasting white
Riesling,unctuous superripe buttery honey breakfast tea sugary white,white,14,unctuous superripe buttery honey breakfast tea sugary white
Riesling,tasted different predominantly tendencies acid pineapple white,white,14,tasted different predominantly tendencies acid pineapple white
Riesling,usually reliable disappointment predominantly impression broad slightly unfocused white,white,14,usually reliable disappointment predominantly impression broad slightly unfocused white
Riesling,reeks heating oil slowly reveal honey overdone slightly texture layers linger minerally overtones lengthy white,white,14,reeks heating oil slowly reveal honey overdone slightly texture layers linger minerally overtones lengthy white
Riesling,prototypical underscored driven minerality lingers sensation plumpness feet imported chapin llc white,white,14,prototypical underscored driven minerality lingers sensation plumpness feet imported chapin llc white
Riesling,bursts grapefruit sipping briskly composed pertly balanced enjoyment white,white,14,bursts grapefruit sipping briskly composed pertly balanced enjoyment white
Riesling,rises reminiscent warmed supports fruits zesty concentration pithy texture brightness slender impact aromatic white,white,14,rises reminiscent warmed supports fruits zesty concentration pithy texture brightness slender impact aromatic white
Riesling,sell bucks absolutely loaded supporting length minerality white,white,14,sell bucks absolutely loaded supporting length minerality white
Riesling,pineapple loud slightly grainy entrance blocky powerfully overtones peel tea white,white,14,pineapple loud slightly grainy entrance blocky powerfully overtones peel tea white
Riesling,freshly apples lemony freshness lets inflects baked dried wonderfully white,white,14,freshly apples lemony freshness lets inflects baked dried wonderfully white
Riesling,minerally sheen heady lemon leads lean white,white,14,minerally sheen heady lemon leads lean white
Riesling,lemon sugary white,white,14,lemon sugary white
Riesling,piny minty combine pineapple decidedly medicinal balanced healthy scented desserts white,white,14,piny minty combine pineapple decidedly medicinal balanced healthy scented desserts white
Riesling,bountiful nectarine melon sets dazzling feet penetrating effortless pleaser offering white,white,14,bountiful nectarine melon sets dazzling feet penetrating effortless pleaser offering white
Riesling,intriguing delicate opening segues apricot delicate concentration warmth vivacious cushioned ripeness earthy white,white,14,intriguing delicate opening segues apricot delicate concentration warmth vivacious cushioned ripeness earthy white
Riesling,pollen lend earthy apricot zesty lemon reverberates intensity white,white,14,pollen lend earthy apricot zesty lemon reverberates intensity white
Riesling,nervous racing casts electric sheen pristine grapefruit footed intensely elegantly framed vein saline minerality complex vibrantly white,white,14,nervous racing casts electric sheen pristine grapefruit footed intensely elegantly framed vein saline minerality complex vibrantly white
